projectid	sampleid	lane	r1	r2
RU40979	SQ6076	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6076_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6076_L003_R2_001.fastq.gz
RU40979	SQ6076	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6076_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6076_L004_R2_001.fastq.gz
RU40979	SQ6077	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L001_R2_001.fastq.gz
RU40979	SQ6077	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L002_R2_001.fastq.gz
RU40979	SQ6077	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L003_R2_001.fastq.gz
RU40979	SQ6077	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6077_L004_R2_001.fastq.gz
RU40979	SQ6078	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L001_R2_001.fastq.gz
RU40979	SQ6078	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L002_R2_001.fastq.gz
RU40979	SQ6078	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L003_R2_001.fastq.gz
RU40979	SQ6078	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6078_L004_R2_001.fastq.gz
